year,county_code,deaths,population,crude_rate
2000,5035,12,50866,23.59139700389258
2000,5051,19,88068,21.574238088749603
2000,5069,15,84278,17.798239160872352
2000,5093,11,51979,21.162392504665345
2000,5119,59,361474,16.32
2000,5143,23,157715,14.58
2000,5145,15,67165,22.333060373706545
2000,6001,146,1443741,10.11
2000,6007,26,203171,12.8
2000,6009,11,40554,27.124328056418605
2000,6013,83,948816,8.75
2000,6017,14,156299,8.957191024894593
2000,6019,63,799407,7.88
2000,6023,21,126518,16.6
2000,6029,67,661645,10.13
2000,6037,1166,9519338,12.25
2000,6041,10,247289,4.043851525947374
2000,6047,11,210554,5.224313002840126
2000,6053,31,401762,7.72
2000,6057,15,92033,16.298501624417327
2000,6059,141,2846289,4.95
2000,6061,25,248399,10.06
2000,6065,153,1545387,9.9
2000,6067,118,1223499,9.64
2000,6071,224,1709434,13.1
2000,6073,203,2813833,7.21
2000,6075,48,776733,6.18
2000,6077,48,563598,8.52
2000,6079,17,246681,6.891491440362249
2000,6081,24,707161,3.39
2000,6083,30,399347,7.51
2000,6085,66,1682585,3.92
2000,6087,25,255602,9.78
2000,6089,17,163256,10.41309354633214
2000,6095,35,394542,8.87
2000,6097,23,458614,5.02
2000,6099,29,446997,6.49
2000,6107,32,368021,8.7
2000,6111,53,753197,7.04
2000,6113,13,168660,7.707814538124037
2000,6115,11,60219,18.26666002424484
2000,8001,41,363857,11.27
2000,8005,40,487967,8.2
2000,8013,32,291288,10.99
2000,8031,73,554636,13.16
2000,8041,48,516929,9.29
2000,8043,11,46145,23.837902264600714
2000,8059,37,527056,7.02
2000,8069,21,251494,8.35
2000,8077,23,116255,19.78
2000,8101,18,141472,12.72336575435422
2000,8123,12,180936,6.632179334129194
2000,9001,40,882567,4.53
2000,9003,41,857183,4.78
2000,9005,10,182193,5.488685075716411
2000,9007,12,155071,7.738390801632801
2000,9009,58,824008,7.04
2000,9011,10,259088,3.859692459704811
2000,10001,13,126697,10.260700726931182
2000,10003,30,500265,6.0
2000,11001,149,572059,26.05
2000,12001,23,217955,10.55
2000,12005,22,148217,14.84
2000,12009,65,476230,13.65
2000,12011,142,1623018,8.75
2000,12015,14,141627,9.885120774993469
2000,12017,25,118085,21.17
2000,12019,11,140814,7.811723266152513
2000,12021,20,251377,7.96
2000,12031,108,778879,13.87
2000,12033,27,294410,9.17
2000,12053,13,130802,9.938685952814177
2000,12055,17,87366,19.458370533159353
2000,12057,117,998948,11.71
2000,12061,12,112947,10.62445217668464
2000,12069,28,210528,13.3
2000,12071,55,440888,12.47
2000,12073,21,239452,8.77
2000,12081,25,264002,9.47
2000,12083,35,258916,13.52
2000,12085,13,126731,10.257947936968856
2000,12086,195,2253362,8.65
2000,12091,14,170498,8.211240014545625
2000,12093,13,35910,36.20161514898357
2000,12095,79,896344,8.81
2000,12097,11,172493,6.377070373870244
2000,12099,100,1131184,8.84
2000,12101,31,344765,8.99
2000,12103,96,921482,10.42
2000,12105,63,483924,13.02
2000,12107,11,70423,15.619896908680403
2000,12109,12,123135,9.745401388719698
2000,12111,29,192695,15.05
2000,12113,20,117743,16.99
2000,12115,27,325957,8.28
2000,12117,24,365196,6.57
2000,12119,13,53345,24.369669134876748
2000,12127,67,443343,15.11
2000,13021,28,153887,18.2
2000,13045,12,87268,13.750744832011733
2000,13051,38,232048,16.38
2000,13057,11,141903,7.751774099208614
2000,13059,10,101489,9.853284592418882
2000,13063,32,236517,13.53
2000,13067,59,607751,9.71
2000,13077,13,89215,14.57154066020288
2000,13089,86,665865,12.92
2000,13095,11,96065,11.450580336230678
2000,13097,10,92174,10.84904636882418
2000,13115,11,90565,12.145972505934964
2000,13121,156,816006,19.12
2000,13127,10,67568,14.799905280606204
2000,13135,63,588448,10.71
2000,13139,12,139277,8.615923662916346
2000,13151,14,119341,11.7310899020454
2000,13153,16,110765,14.444996163047893
2000,13185,10,92115,10.855995223362102
2000,13215,25,186291,13.42
2000,13217,10,62001,16.128772116578766
2000,13223,13,81678,15.916158573912192
2000,13245,34,199775,17.02
2000,13255,10,58417,17.118304603112108
2000,13285,10,58779,17.012878749213154
2000,13313,14,83525,16.761448668063455
2000,15001,11,148677,7.398588887319492
2000,15003,30,876156,3.42
2000,16001,23,300904,7.64
2000,16027,15,131441,11.41196430337566
2000,16055,12,108685,11.041082026038552
2000,17019,10,179669,5.56579042572731
2000,17031,701,5376741,13.04
2000,17043,26,904161,2.88
2000,17089,23,404119,5.69
2000,17097,15,644356,2.3279056918846104
2000,17111,13,260077,4.9985196691748985
2000,17119,21,258941,8.11
2000,17143,13,183433,7.08705630938817
2000,17163,32,256082,12.5
2000,17167,15,188951,7.938566083270266
2000,17179,10,128485,7.783009689847065
2000,17197,33,502266,6.57
2000,17201,28,278418,10.06
2000,18003,25,331849,7.53
2000,18019,10,96472,10.365701965337093
2000,18035,16,118769,13.471528765923766
2000,18039,14,182791,7.659020411289395
2000,18081,10,115209,8.679877440130545
2000,18089,125,484564,25.8
2000,18091,18,110106,16.347882949158084
2000,18095,14,133358,10.498057859296031
2000,18097,123,860454,14.29
2000,18127,14,146798,9.536914671862014
2000,18141,26,265559,9.79
2000,18163,19,171922,11.05152336524703
2000,18167,12,105848,11.337011563751794
2000,19113,13,191701,6.781393941606982
2000,19153,19,374601,5.072063342062622
2000,19155,14,87704,15.96278390951382
2000,19163,15,158668,9.453702069730507
2000,20091,24,451086,5.32
2000,20173,54,452869,11.92
2000,20177,35,169871,20.6
2000,20209,45,157882,28.5
2000,21047,10,72265,13.837957517470421
2000,21067,20,260512,7.68
2000,21071,11,42441,25.91833368676516
2000,21093,10,94174,10.61864208804978
2000,21111,98,693604,14.13
2000,21117,19,151464,12.544234933713623
2000,21125,13,52715,24.660912453760787
2000,21145,13,65514,19.843086973776597
2000,21151,12,70872,16.931933626820182
2000,21195,11,68736,16.003258845437617
2000,22005,14,76627,18.270322471191616
2000,22015,21,98310,21.36
2000,22017,59,252161,23.4
2000,22019,27,183577,14.71
2000,22033,62,412852,15.02
2000,22039,11,35434,31.043630411469213
2000,22051,74,455466,16.25
2000,22055,17,190503,8.923743983034388
2000,22063,10,91814,10.891585161304377
2000,22071,199,484674,41.06
2000,22073,22,147250,14.94
2000,22079,11,126337,8.70687130452678
2000,22089,10,48072,20.802130138126145
2000,22097,12,87700,13.683010262257698
2000,22103,26,191268,13.59
